country,y,val_district_ann_agg,k_growth_coef,k_growth_coef_pct,index,users,new_users,sessions,bounce_rate,page_session,avg_session_dur,users_visitors_ratio
Russia,2017,144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Russia,2018,146,1.013888889,1.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Russia,2019,134,0.917808219,-8.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Russia,2020,40,0.298507463,-70.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Russia,2021,20,0.5,-50,70,19,19,20,0.55,1.45,3.55,1
Saudi Arabia,2017,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saudi Arabia,2018,3,3,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saudi Arabia,2020,1,0.333333333,-66.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Serbia,2017,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Serbia,2018,38,0.457831325,-54.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Serbia,2019,51,1.342105263,34.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Serbia,2020,5,0.098039216,-90.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Serbia,2021,5,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Singapore,2017,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Singapore,2019,2,0.5,-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slovakia,2017,55406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slovakia,2018,64680,1.167382594,16.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slovakia,2019,63626,0.983704391,-1.63,2,11794,11642,14848,0.71565194,1.95467403,93.86947737,5
Slovakia,2020,44739,0.703155943,-29.68,0,26840,26632,37836,0.75364732,2.048393065,86.53396236,2
Slovakia,2021,32996,0.737522072,-26.25,1,18622,18533,24970,0.757228674,1.664156988,79.89098919,2
Slovenia,2017,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slovenia,2018,118,1.638888889,63.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slovenia,2019,114,0.966101695,-3.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slovenia,2020,471,4.131578947,313.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slovenia,2021,23,0.048832272,-95.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Africa,2018,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Africa,2019,8,1.142857143,14.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Korea,2017,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Korea,2018,4,1.333333333,33.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Korea,2019,38,9.5,850,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Korea,2021,1,0.026315789,-97.37,82,12,12,14,0,2,8.571428571,0
Spain,2017,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Spain,2018,210,3.5,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
